theme_id,entity_id,ticker,role,purity,effective_from,effective_to,change_reason,notes
ai_networking_connectivity,arista_networks,ANET,core,high,2026-09-08,,initial_v1_0,
ai_networking_connectivity,credo_technology,CRDO,core,high,2026-09-08,,initial_v1_0,
ai_networking_connectivity,astera_labs,ALAB,core,high,2026-09-08,,initial_v1_0,
ai_networking_connectivity,broadcom,AVGO,core,high,2026-09-08,,initial_v1_0,
ai_networking_connectivity,marvell,MRVL,core,high,2026-09-08,,initial_v1_0,
ai_networking_connectivity,cisco,CSCO,related,medium,2026-09-08,,initial_v1_0,
optical_photonics,coherent,COHR,core,high,2026-09-08,,initial_v1_0,
optical_photonics,lumentum,LITE,core,high,2026-09-08,,initial_v1_0,
optical_photonics,applied_optoelectronics,AAOI,core,high,2026-09-08,,initial_v1_0,
optical_photonics,ciena,CIEN,core,medium,2026-09-08,,initial_v1_0,
optical_photonics,fabrinet,FN,related,medium,2026-09-08,,initial_v1_0,
optical_photonics,credo_technology,CRDO,related,medium,2026-09-08,,initial_v1_0,
optical_photonics,broadcom,AVGO,related,medium,2026-09-08,,initial_v1_0,
optical_photonics,axt,AXTI,related,medium,2026-09-08,,initial_v1_0,
optical_photonics,poet_technologies,POET,related,medium,2026-09-08,,initial_v1_0,
semiconductor_equipment,applied_materials,AMAT,core,high,2026-09-08,,initial_v1_0,
semiconductor_equipment,lam_research,LRCX,core,high,2026-09-08,,initial_v1_0,
semiconductor_equipment,kla,KLAC,core,high,2026-09-08,,initial_v1_0,
semiconductor_equipment,asml,ASML,core,high,2026-09-08,,initial_v1_0,
semiconductor_equipment,teradyne,TER,related,medium,2026-09-08,,initial_v1_0,
semiconductor_equipment,entegris,ENTG,related,medium,2026-09-08,,initial_v1_0,
semiconductor_equipment,mks_instruments,MKSI,related,medium,2026-09-08,,initial_v1_0,
hyperscaler_ai_capex,microsoft,MSFT,core,high,2026-09-08,,initial_v1_0,
hyperscaler_ai_capex,alphabet,GOOGL,core,high,2026-09-08,,initial_v1_0,
hyperscaler_ai_capex,amazon,AMZN,core,high,2026-09-08,,initial_v1_0,
hyperscaler_ai_capex,meta_platforms,META,core,high,2026-09-08,,initial_v1_0,
hyperscaler_ai_capex,oracle,ORCL,core,medium,2026-09-08,,initial_v1_0,
power_grid,eaton,ETN,core,high,2026-09-08,,initial_v1_0,
power_grid,ge_vernova,GEV,core,medium,2026-09-08,,initial_v1_0,
power_grid,hubbell,HUBB,core,high,2026-09-08,,initial_v1_0,
power_grid,nvent,NVT,core,high,2026-09-08,,initial_v1_0,
power_grid,powell_industries,POWL,core,high,2026-09-08,,initial_v1_0,
power_grid,quanta_services,PWR,related,medium,2026-09-08,,initial_v1_0,
power_grid,constellation_energy,CEG,exclude,low,2026-09-08,,initial_v1_0,belongs_to_nuclear_utilities_ai_power
power_grid,vistra,VST,exclude,low,2026-09-08,,initial_v1_0,belongs_to_nuclear_utilities_ai_power
power_grid,vertiv,VRT,exclude,low,2026-09-08,,initial_v1_0,belongs_to_cooling_thermal
memory_hbm,micron,MU,core,high,2026-09-08,,initial_v1_0,
memory_hbm,sk_hynix,SKHY,core,high,2026-09-08,,initial_v1_0,
memory_hbm,sandisk,SNDK,related,medium,2026-09-08,,initial_v1_0,
memory_hbm,seagate,STX,exclude,low,2026-09-08,,initial_v1_0,storage_not_hbm_dram
memory_hbm,western_digital,WDC,exclude,low,2026-09-08,,initial_v1_0,storage_not_hbm_dram
memory_hbm,kioxia,KXIAY,exclude,low,2026-09-08,,initial_v1_0,nand_storage_not_hbm_dram
datacenter_storage,sandisk,SNDK,core,high,2026-09-08,,initial_v1_0,
datacenter_storage,seagate,STX,core,high,2026-09-08,,initial_v1_0,
datacenter_storage,western_digital,WDC,core,high,2026-09-08,,initial_v1_0,
datacenter_storage,kioxia,KXIAY,related,high,2026-09-08,,initial_v1_0,data_quality_review
ai_compute_silicon,nvidia,NVDA,core,high,2026-09-08,,initial_v1_0,
ai_compute_silicon,amd,AMD,core,high,2026-09-08,,initial_v1_0,
ai_compute_silicon,broadcom,AVGO,related,high,2026-09-08,,initial_v1_0,custom_asic_exposure
ai_compute_silicon,marvell,MRVL,related,high,2026-09-08,,initial_v1_0,custom_asic_exposure
ai_compute_silicon,qualcomm,QCOM,related,medium,2026-09-08,,initial_v1_0,datacenter_ai_roadmap_not_home_driver
ai_compute_silicon,arm,ARM,related,medium,2026-09-08,,initial_v1_0,ip_royalty_model
foundry_advanced_packaging,tsmc,TSM,core,high,2026-09-08,,initial_v1_0,
foundry_advanced_packaging,amkor,AMKR,core,high,2026-09-08,,initial_v1_0,
foundry_advanced_packaging,ase_technology,ASX,core,high,2026-09-08,,initial_v1_0,
foundry_advanced_packaging,globalfoundries,GFS,related,medium,2026-09-08,,initial_v1_0,mature_node_mix
